Spoiler,9 Aug 2016,İşte o isim http://bit.ly/2aYp3Qn  ,3,0
Spoiler,7 Aug 2017,CNN TÜRK Bu bitkinin ekonomiye katkısı 5 milyon lira https://buff.ly/2hDxrdU  ,9,0
Spoiler,22 Mar 2017,Devlet ihalesinde ortalık savaş alanına döndü http://www.turkiyegazetesi.com.tr/yasam/458034.aspx … ,6,0
Spoiler,unknown,"Başbakan, bedelli askerliğe ilişkin açıklamada bulundu - http://www.ekomonitor.com.tr/manset/basbakan-bedelli-askerlige-iliskin-aciklamada-bulundu/ … ",12,3
Spoiler,22 Mar 2017,Samet Aybaba dönüyor! İşte yeni takımı… http://amkspor.sozcu.com.tr/2017/03/22/samet-aybaba-donuyor-iste-yeni-takimi-604466/ … ,4,0
Spoiler,unknown,'Fatih Terim'in Galatasaray'dan alacağı ücret belli oldu' https://sptnkne.ws/jNUy  ,19,3
Spoiler,17 Apr 2016,O hakem bakın kim çıktı! http://www.aspor.com.tr/galatasaray/2016/04/17/o-hakem-bakin-kim-cikti … ,5,2
Spoiler,19 Jan 2016,30 bin öğretmen atamasının yapılacağı tarih açıklandı http://bit.ly/1OEoUvM  ,3,0
Spoiler,2 May 2016,TOKİ dev ihaleyi iptal etti http://vatan.im/1Url7Zv ,5,0
Spoiler,19 Apr 2017,Böyle yan hakem görülmedi! Ortalığı salladı... http://hry.yt/BzFgD  ,75,5
Spoiler,unknown,Fed faiz kararını açıkladı,7,2
Spoiler,27 Jan 2016,8 liraya kıyma olur mu? http://buff.ly/1QCBOiC  ,28,4
Spoiler,2 May 2016,#PTT'den çok önemli uyarı: O e-postayı görürseniz hiç okumadan silin! http://hur.yt/1NhIUtq  ,3,4
Spoiler,16 May 2016,Beşiktaş'ın yıldız oyuncusu Gökhan Töre'nin transfer ücreti açıklandı! http://bit.ly/1ss7bE0  ,18,5
Spoiler,10 Jun 2016,SON DAKİKA! Dev market zinciri resmen satıldı http://hry.yt/0yiBQ  ,1,0
Spoiler,27 May 2016,"#WhatsApp kullanıcıları dikkat: İşte dolandırıcıların yeni tuzağı http://www.ntv.com.tr/galeri/teknoloji/whatsapp-gold-tuzagina-dikkat,Yk6QPmlBfkCHhnl_cwLJzQ … ",3,2
Spoiler,29 Feb 2016,Galaxy S7'nin fiyatı belli oldu http://bit.ly/1oXLsS0  ,4,0
Spoiler,22 Mar 2017,Herkes İrem Derici sandı: Gelin adayını görenler gözlerine inanamadı! http://hry.yt/EU1cL  ,5,0
Spoiler,15 Nov 2016,Sibel Can yaşını küçülttü.. İşte yeni yaşı http://hry.yt/Op4oN  ,20,3
Spoiler,12 Nov 2016,"Yerli Trump görenleri şaşırtıyor http://www.ntv.com.tr/galeri/turkiye/yerli-trump-gorenleri-sasirtiyor,XCWIiaZ2lUObdb0djhZx6w … ",71,14
Spoiler,22 Jul 2017,Sivasspor'a kötü haber http://bit.ly/2vLjbSu  ,2,0
Spoiler,unknown,"Ünlü bankacı istifa edip, Bitcoin işine girdi (Finansbank’ta 18 yıl) https://www.ntv.com.tr/ekonomi/unlu-bankaci-qnb-finansinvesti-birakti-bitcoin-aracilik-sirketi-aldi%2cBMKaUVAu_0KbscTmi94j-A … ",21,4
